date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:19:27	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2024%20Oct%202023%2014:19:22%20GMT	https://dxdesignz.github.io/Travel	C:/My%20Web%20Sites/travel/dxdesignz.github.io/Travel.0.delayed	(from )
17:19:28	12169/12169	---M-Z	200	added ('OK')	text/html	etag:W/%2264d49cd9-2f89%22	https://dxdesignz.github.io/Travel/	C:/My%20Web%20Sites/travel/dxdesignz.github.io/Travel/index.html	(from )
17:19:28	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2265020b3f-239b%22	https://dxdesignz.github.io/robots.txt		(from )
17:19:28	616/616	---M--	200	added ('OK')	image/png	etag:%2264d49cd9-268%22	https://dxdesignz.github.io/Travel/img/favicon_io/favicon-16x16.png	C:/My%20Web%20Sites/travel/dxdesignz.github.io/Travel/img/favicon_io/favicon-16x16.png	(from https://dxdesignz.github.io/Travel/)
17:19:29	28583/28583	---M-Z	200	added ('OK')	text/css	etag:W/%2264d49cd9-6fa7%22	https://dxdesignz.github.io/Travel/style.css	C:/My%20Web%20Sites/travel/dxdesignz.github.io/Travel/style.css	(from https://dxdesignz.github.io/Travel/)
17:19:29	147097/147097	---M-Z	200	added ('OK')	text/css	etag:%22bb8fec66356c7c1850d307e4e6fab060%22	https://cdn-uicons.flaticon.com/uicons-regular-straight/css/uicons-regular-straight.css	C:/My%20Web%20Sites/travel/cdn-uicons.flaticon.com/uicons-regular-straight/css/uicons-regular-straight.css	(from https://dxdesignz.github.io/Travel/)
17:19:29	147172/147172	---M-Z	200	added ('OK')	text/css	etag:%228df1dfa3fe4f86e960f7462a24003de9%22	https://cdn-uicons.flaticon.com/uicons-regular-rounded/css/uicons-regular-rounded.css	C:/My%20Web%20Sites/travel/cdn-uicons.flaticon.com/uicons-regular-rounded/css/uicons-regular-rounded.css	(from https://dxdesignz.github.io/Travel/)
17:19:30	147188/147188	---M-Z	200	added ('OK')	text/css	etag:%2278b5da94a3676e0306c2b973cf5e0748%22	https://cdn-uicons.flaticon.com/uicons-bold-rounded/css/uicons-bold-rounded.css	C:/My%20Web%20Sites/travel/cdn-uicons.flaticon.com/uicons-bold-rounded/css/uicons-bold-rounded.css	(from https://dxdesignz.github.io/Travel/)
17:19:30	147171/147171	---M-Z	200	added ('OK')	text/css	etag:%2260662c6f8ef9f42d16e16ce7fac06515%22	https://cdn-uicons.flaticon.com/uicons-solid-rounded/css/uicons-solid-rounded.css	C:/My%20Web%20Sites/travel/cdn-uicons.flaticon.com/uicons-solid-rounded/css/uicons-solid-rounded.css	(from https://dxdesignz.github.io/Travel/)
17:19:30	15059/15059	---M-Z	200	added ('OK')	text/css	etag:%225235bf04cb05ede78db04448b2ecdc17%22	https://cdn-uicons.flaticon.com/uicons-brands/css/uicons-brands.css	C:/My%20Web%20Sites/travel/cdn-uicons.flaticon.com/uicons-brands/css/uicons-brands.css	(from https://dxdesignz.github.io/Travel/)
17:19:31	147173/147173	---M-Z	200	added ('OK')	text/css	etag:%2294959608f4a78b4d57a5932fe9328809%22	https://cdn-uicons.flaticon.com/uicons-solid-straight/css/uicons-solid-straight.css	C:/My%20Web%20Sites/travel/cdn-uicons.flaticon.com/uicons-solid-straight/css/uicons-solid-straight.css	(from https://dxdesignz.github.io/Travel/)
17:19:31	18451/18451	---M-Z	200	added ('OK')	text/css	etag:W/%224813-cVRgrthAcZRLwmt8seVl8+0QciE%22	https://cdn.jsdelivr.net/npm/swiper@10/swiper-bundle.min.css	C:/My%20Web%20Sites/travel/cdn.jsdelivr.net/npm/swiper@10/swiper-bundle.min.css	(from https://dxdesignz.github.io/Travel/)
17:19:32	89795/89795	---M--	200	added ('OK')	text/javascript	date:Tue,%2004%20Apr%202023%2003:27:01%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.6.4/jquery.min.js	C:/My%20Web%20Sites/travel/ajax.googleapis.com/ajax/libs/jquery/3.6.4/jquery.min.js	(from https://dxdesignz.github.io/Travel/)
17:19:32	26053/26053	---MCZ	200	added ('OK')	text/css	etag:%2265c5-BVfTdFS2f0LyyxAeV+UHD7EZNXA%22	https://unpkg.com/aos@2.3.1/dist/aos.css	C:/My%20Web%20Sites/travel/unpkg.com/aos@2.3.1/dist/aos.css	(from https://dxdesignz.github.io/Travel/)
17:19:33	4165/4165	---M--	200	added ('OK')	image/png	etag:%2264d49cd9-1045%22	https://dxdesignz.github.io/Travel/img/logo.png	C:/My%20Web%20Sites/travel/dxdesignz.github.io/Travel/img/logo.png	(from https://dxdesignz.github.io/Travel/)
17:19:33	42034/42034	---M--	200	added ('OK')	image/png	etag:%2264d49cd9-a432%22	https://dxdesignz.github.io/Travel/img/tour.png	C:/My%20Web%20Sites/travel/dxdesignz.github.io/Travel/img/tour.png	(from https://dxdesignz.github.io/Travel/)
17:19:33	389132/389132	---M--	200	added ('OK')	image/png	etag:%2264d49cd9-5f00c%22	https://dxdesignz.github.io/Travel/img/t1.png	C:/My%20Web%20Sites/travel/dxdesignz.github.io/Travel/img/t1.png	(from https://dxdesignz.github.io/Travel/)
